userid,age,gender,domisili,pekerjaan,instansi,hobi
66036,54,female,Kabupaten Blora,Ilustrator,Universitas Indonesia (UI),Merakit model
68263,24,male,Kabupaten Nganjuk,Content writer,Universitas Gunadarma,Bermain game
29259,108,male,Kota Salatiga,Content creator,Universitas Brawijaya (UB),Menyanyi
4269,40,male,Kabupaten Kendal,Web developer,PT Pertamina,Makan
76352,20,male,Kota Banjar,Blogger,PT Freeport,Mendengarkan musik
64917,24,male,Kota Bandung,Blogger,PT Astra International,Programming
5740,50,female,Kabupaten Brebes,Content creator,Universitas Brawijaya (UB),Eksplor alam
33345,36,male,Kabupaten Wonogiri,Mahasiswa,Universitas Udayana (UNUD),Menonton
18948,66,female,Kota Tasikmalaya,Video editor,PT Unilever Indonesia,Menulis
81477,108,male,Kabupaten Lumajang,Blogger,Universitas Sebelas Maret (UNS),Berkebun
45730,16,female,Kota Tasikmalaya,Video editor,Universitas Sebelas Maret (UNS),Bermain game
74813,22,male,Kabupaten Tegal,Penerjemah,SMA B,Memasak
41064,17,male,Kabupaten Banyumas,Penerjemah,Universitas Gadjah Mada (UGM),Memelihara hewan
55683,29,male,Kabupaten Pandeglang,Content writer,Universitas Negeri Surabaya (UNESA),Bermain game
70219,23,male,Kabupaten Pekalongan,Ilustrator,PT Bank Negara Indonesia Tbk,Bermain musik
67719,17,female,Kota Salatiga,Content writer,Universitas Negeri Surabaya (UNESA),Eksplor alam
97491,24,female,Kota Semarang,Content creator,Universitas Brawijaya (UB),Melukis
52273,19,female,Kabupaten Rembang,Desain grafis,Universitas Negeri Jakarta (UNJ),Fotografi
80165,24,male,Kabupaten Bantul,Mahasiswa,PT Bank Central Asia Tbk,Menyanyi
55220,71,male,Kabupaten Bangkalan,App developer,PT Bank Mandiri Tbk,Makan
71876,25,male,Kota Blitar,Programmer,Universitas Brawijaya (UB),Mendengarkan musik
98854,19,male,Kabupaten Brebes,Programmer,Universitas Gunadarma,Kolektor
25449,65,male,Kota Cirebon,Desain grafis,Institut Teknologi Bandung (ITB),Kolektor
36357,41,female,Kabupaten Brebes,Penerjemah,Universitas Gadjah Mada (UGM),Memasak
33905,14,male,Kabupaten Brebes,Content creator,Universitas Andalas (UNAND),Bermain musik
85416,32,male,Kota Blitar,Content writer,Universitas Bina Nusantara (Binus),Menulis
27874,22,female,Kabupaten Magelang,Blogger,Universitas Negeri Yogyakarta (UNY),Menulis
7072,25,male,Kabupaten Gunungkidul,Siswa,Universitas Hasanuddin (UNHAS),Berkebun
65837,108,male,Kabupaten Wonosobo,Data analyst,PT Bank Negara Indonesia Tbk,Eksplor alam
15316,40,male,Kabupaten Banyuwangi,Ilustrator,Universitas Bina Nusantara (Binus),Programming
11790,32,male,Kabupaten Subang,Data analyst,Universitas Andalas (UNAND),Eksplor alam
51204,53,female,Kabupaten Kendal,Penerjemah,Institut Teknologi Bandung (ITB),Menganyam
32933,16,male,Kota Kediri,Content creator,Universitas Gunadarma,Bermain musik
47155,53,female,Kota Blitar,Infuencer,Universitas Hasanuddin (UNHAS),Menganyam
69201,89,female,Kabupaten Brebes,Content creator,Institut Teknologi Sepuluh Nopember (ITS),Bermain musik
89491,17,male,Kabupaten Banyumas,Infuencer,PT Freeport,Menari
7017,21,male,Kabupaten Sumedang,Mahasiswa,PT Bank Negara Indonesia Tbk,Berkebun
32299,53,female,Kabupaten Semarang,Web developer,Universitas Padjadjaran (UNPAD),Kolektor
43634,27,female,Kabupaten Magelang,Infuencer,Universitas Telkom,Menyanyi
73646,36,male,Kabupaten Cirebon,App developer,SMA C,Berkebun
89494,18,male,Kabupaten Pasuruan,Video editor,Universitas Diponegoro (UNDIP),Bermain game
58651,24,female,Kabupaten Subang,Content writer,PT Bank Rakyat Indonesia Tbk,Merakit model
21679,25,female,Kabupaten Purwakarta,Penulis,Universitas Negeri Yogyakarta (UNY),Melukis
60259,34,female,Kabupaten Purwakarta,Siswa,Universitas Brawijaya (UB),Olahraga
61644,56,male,Kabupaten Gunungkidul,Desain grafis,PT Semen Indonesia,Membaca
31646,27,female,Kabupaten Sumenep,Programmer,Universitas Udayana (UNUD),Fotografi
18528,26,male,Kabupaten Cilacap,Penerjemah,PT Semen Indonesia,Membaca
352,21,female,Kabupaten Pacitan,App developer,Universitas Brawijaya (UB),Memelihara hewan
44551,22,female,Kabupaten Cirebon,Penulis,Universitas Udayana (UNUD),Menyanyi
41149,23,male,Kabupaten Sragen,Web developer,Universitas Bina Nusantara (Binus),Bermain musik
114,17,female,Kabupaten Purbalingga,Content writer,Universitas Padjadjaran (UNPAD),Memasak
63064,40,female,Kabupaten Karanganyar,Web developer,PT Bank Rakyat Indonesia Tbk,Menulis
72794,28,female,Kabupaten Tangerang,Web developer,Universitas Negeri Jakarta (UNJ),Kolektor
67137,52,female,Kabupaten Pekalongan,Blogger,Institut Pertanian Bogor (IPB),Bermain musik
10632,23,female,Kota Blitar,Web developer,Universitas Sebelas Maret (UNS),Berkebun
76625,25,female,Kota Kediri,Web developer,SMA A,Menari
14156,35,male,Kota Tasikmalaya,Content writer,Universitas Negeri Surabaya (UNESA),Bermain musik
3933,24,female,Kabupaten Tuban,Ilustrator,PT Bank Rakyat Indonesia Tbk,Mendengarkan musik
91340,18,female,Kota Surabaya,Siswa,Universitas Sebelas Maret (UNS),Programming
16077,50,male,Kabupaten Banjarnegara,Penerjemah,PT Garuda Indonesia,Eksplor alam
86926,17,male,Kabupaten Banjarnegara,Programmer,Universitas Negeri Jakarta (UNJ),Menganyam
8714,17,male,Kabupaten Sumedang,Desain grafis,Universitas Gadjah Mada (UGM),Menganyam
12625,62,female,Kabupaten Banjarnegara,Blogger,Universitas Sumatera Utara (USU),Merakit model
66722,18,male,Kabupaten Bandung Barat,Blogger,Universitas Telkom,Menonton
69792,18,female,Kota Surakarta,Infuencer,Universitas Negeri Yogyakarta (UNY),Memelihara hewan
6758,39,female,Kabupaten Cirebon,Siswa,PT Bank Central Asia Tbk,Programming
44718,36,female,Kabupaten Gunungkidul,App developer,PT Gudang Garam Tbk,Programming
78925,17,male,Kabupaten Jepara,Content creator,PT Garuda Indonesia,Olahraga
35747,44,male,Kabupaten Purbalingga,Data analyst,SMA C,Mendengarkan musik
93143,103,male,Kabupaten Bandung Barat,Siswa,PT Bank Rakyat Indonesia Tbk,Programming
88273,25,male,Kota Surabaya,Penerjemah,Universitas Sebelas Maret (UNS),Menyanyi
26635,33,male,Kabupaten Sumedang,Data analyst,PT Gudang Garam Tbk,Makan
60498,21,male,Kabupaten Banyuwangi,Video editor,Universitas Negeri Malang (UM),Fotografi
68054,54,female,Kabupaten Sidoarjo,Programmer,Universitas Brawijaya (UB),Membaca
20466,24,male,Kabupaten Pangandaran,Web developer,SMA C,Bermain game
40625,13,male,Kota Banjar,Mahasiswa,PT Unilever Indonesia,Olahraga
27760,28,male,Kabupaten Purwakarta,Web developer,Universitas Hasanuddin (UNHAS),Makan
23543,15,male,Kabupaten Trenggalek,Mahasiswa,PT PLN,Olahraga
23226,25,male,Kota Cirebon,Ilustrator,Universitas Udayana (UNUD),Programming
3381,22,male,Kabupaten Cilacap,Penulis,Universitas Negeri Semarang (UNNES),Menyanyi
97861,19,male,Kabupaten Jombang,Infuencer,PT Freeport,Kolektor
93042,19,female,Kota Bekasi,Web developer,PT Garuda Indonesia,Membaca
90882,20,female,Kabupaten Blora,Content writer,Universitas Udayana (UNUD),Makan
75621,18,female,Kabupaten Batang,Video editor,PT Gudang Garam Tbk,Kolektor
61727,17,male,Kota Depok,App developer,Institut Teknologi Bandung (ITB),Memasak
68118,13,male,Kabupaten Wonosobo,Web developer,Institut Teknologi Bandung (ITB),Mendengarkan musik
66304,23,male,Kabupaten Pasuruan,Infuencer,Universitas Dian Nuswantoro,Programming
1824,23,female,Kabupaten Wonogiri,Web developer,Universitas Sebelas Maret (UNS),Memelihara hewan
83278,17,male,Kabupaten Nganjuk,Penerjemah,Universitas Brawijaya (UB),Membaca
37977,69,female,Kabupaten Pandeglang,Siswa,PT Bank Rakyat Indonesia Tbk,Menulis
8860,30,male,Kota Banjar,Web developer,PT Unilever Indonesia,Melukis
39579,21,male,Kabupaten Gresik,Mahasiswa,PT Pertamina,Menyanyi
93559,23,male,Kabupaten Indramayu,Blogger,Institut Teknologi Sepuluh Nopember (ITS),Menonton
4562,43,female,Kota Yogyakarta,Content writer,Institut Teknologi Sepuluh Nopember (ITS),Melukis
4191,34,male,Kabupaten Batang,Siswa,Universitas Negeri Semarang (UNNES),Makan
7171,33,male,Kabupaten Ponorogo,Data analyst,PT Garuda Indonesia,Bermain musik
88784,14,male,Kabupaten Karawang,App developer,Universitas Bina Nusantara (Binus),Bermain game
15110,32,female,Kabupaten Nganjuk,Penulis,Universitas Indonesia (UI),Menonton
33595,34,female,Kota Kediri,Content writer,Universitas Sebelas Maret (UNS),Olahraga
90668,82,male,Kabupaten Situbondo,Mahasiswa,SMA C,Olahraga
63084,25,female,Kabupaten Kulonprogo,Ilustrator,PT PLN,Menari
43739,53,male,Kota Batu,Blogger,Universitas Diponegoro (UNDIP),Bermain musik
79777,18,female,Kabupaten Lebak,Penulis,Universitas Andalas (UNAND),Mendengarkan musik
85456,23,female,Kabupaten Blora,Penulis,Universitas Gunadarma,Menonton
64066,19,male,Kota Sukabumi,Desain grafis,Universitas Gadjah Mada (UGM),Membaca
4412,56,male,Kabupaten Brebes,Ilustrator,PT Semen Indonesia,Kolektor
84508,23,male,Kabupaten Magetan,Desain grafis,Universitas Lampung (UNILA),Menari
59882,81,female,Kota Pekalongan,Video editor,Universitas Indonesia (UI),Menganyam
75534,35,female,Kabupaten Sukabumi,Siswa,Universitas Negeri Surabaya (UNESA),Olahraga
93924,20,female,Kabupaten Gunungkidul,Desain grafis,SMA B,Programming
34132,51,male,Kabupaten Kudus,Content writer,Universitas Airlangga (UNAIR),Mendengarkan musik
51003,35,female,Kota Salatiga,Data analyst,Universitas Dian Nuswantoro,Membaca
79698,48,female,Kabupaten Brebes,Blogger,Universitas Negeri Yogyakarta (UNY),Memasak
60439,26,male,Kabupaten Magetan,Penulis,Universitas Sebelas Maret (UNS),Mendengarkan musik
20506,18,male,Kabupaten Sleman,App developer,Universitas Bina Nusantara (Binus),Berkebun
6596,22,male,Kabupaten Semarang,Data analyst,Institut Pertanian Bogor (IPB),Bermain game
51056,103,male,Kabupaten Rembang,Mahasiswa,PT Bank Rakyat Indonesia Tbk,Merakit model
79564,19,male,Kabupaten Pasuruan,Ilustrator,Universitas Sebelas Maret (UNS),Memasak
89744,31,male,Kota Pekalongan,Blogger,PT Garuda Indonesia,Menganyam
67954,51,female,Kabupaten Pekalongan,Mahasiswa,SMA C,Menari
21002,28,female,Kabupaten Temanggung,Web developer,Institut Teknologi Sepuluh Nopember (ITS),Programming
52179,48,female,Kabupaten Sumenep,Siswa,Institut Teknologi Bandung (ITB),Menulis
54695,16,male,Kabupaten Sumenep,Ilustrator,Universitas Negeri Malang (UM),Menganyam
56340,16,male,Kabupaten Indramayu,Penerjemah,Universitas Airlangga (UNAIR),Menulis
29337,56,female,Kabupaten Lebak,Web developer,Institut Pertanian Bogor (IPB),Memelihara hewan
64270,21,female,Kabupaten Brebes,Desain grafis,Institut Pertanian Bogor (IPB),Membaca
93699,15,male,Kabupaten Sumedang,Web developer,Universitas Hasanuddin (UNHAS),Programming
18119,18,male,Kabupaten Banyumas,Desain grafis,Universitas Negeri Semarang (UNNES),Menyanyi
89346,47,female,Kabupaten Kendal,Video editor,Universitas Bina Nusantara (Binus),Memelihara hewan
33210,22,female,Kabupaten Trenggalek,Penerjemah,Universitas Dian Nuswantoro,Mendengarkan musik
14631,56,female,Kota Magelang,App developer,Universitas Sumatera Utara (USU),Fotografi
65090,36,female,Kota Batu,Blogger,Universitas Negeri Malang (UM),Menari
12672,18,male,Kabupaten Karawang,Penulis,SMA C,Memelihara hewan
3686,23,male,Kabupaten Jember,Programmer,Universitas Padjadjaran (UNPAD),Bermain game
28171,20,male,Kabupaten Sumenep,Data analyst,Universitas Negeri Yogyakarta (UNY),Memasak
9026,13,male,Kabupaten Serang,Programmer,PT Bank Rakyat Indonesia Tbk,Berkebun
61185,19,male,Kabupaten Sragen,Mahasiswa,Institut Teknologi Bandung (ITB),Bermain game
29618,58,male,Kabupaten Lamongan,Mahasiswa,Institut Pertanian Bogor (IPB),Memelihara hewan
53884,41,female,Kabupaten Sampang,Penerjemah,Universitas Negeri Malang (UM),Makan
79144,19,male,Kabupaten Purbalingga,Video editor,Universitas Andalas (UNAND),Melukis
70433,24,female,Kabupaten Pamekasan,Data analyst,Universitas Gunadarma,Memelihara hewan
39253,20,male,Kabupaten Majalengka,Blogger,Institut Teknologi Sepuluh Nopember (ITS),Melukis
30456,73,female,Kabupaten Lumajang,Siswa,PT Pertamina,Menari
60546,28,male,Kota Bandung,Data analyst,PT Pertamina,Kolektor
86347,23,male,Kabupaten Magelang,Penulis,SMA C,Bermain musik
40652,24,male,Kabupaten Kediri,Content creator,Institut Teknologi Sepuluh Nopember (ITS),Berkebun
62627,17,female,Kabupaten Sukabumi,Video editor,Universitas Negeri Yogyakarta (UNY),Merakit model
34405,22,female,Kabupaten Trenggalek,Content writer,Universitas Gunadarma,Bermain musik
92019,22,male,Kabupaten Sidoarjo,Content writer,Universitas Sumatera Utara (USU),Menari
61745,37,female,Kota Salatiga,Video editor,Universitas Sumatera Utara (USU),Programming
31570,21,male,Kota Batu,Desain grafis,PT Semen Indonesia,Olahraga
20851,19,male,Kabupaten Pangandaran,Ilustrator,Universitas Hasanuddin (UNHAS),Berkebun
98978,17,female,Kabupaten Blitar,Penerjemah,PT Bank Rakyat Indonesia Tbk,Membaca
71656,56,male,Kabupaten Wonogiri,Content creator,Institut Teknologi Sepuluh Nopember (ITS),Membaca
31161,69,female,Kabupaten Sukabumi,Programmer,Universitas Hasanuddin (UNHAS),Bermain musik
55489,48,female,Kota Semarang,Programmer,Universitas Udayana (UNUD),Eksplor alam
98366,19,female,Kabupaten Temanggung,Infuencer,SMA B,Memelihara hewan
78116,68,female,Kabupaten Gunungkidul,Mahasiswa,Universitas Udayana (UNUD),Menyanyi
48248,16,male,Kabupaten Magelang,Desain grafis,Institut Teknologi Sepuluh Nopember (ITS),Menganyam
76611,30,male,Kabupaten Karawang,Programmer,PT Garuda Indonesia,Bermain game
66822,21,female,Kabupaten Kediri,App developer,Universitas Andalas (UNAND),Makan
23672,35,male,Kabupaten Karawang,Ilustrator,Universitas Padjadjaran (UNPAD),Menyanyi
54516,29,male,Kota Madiun,App developer,PT Unilever Indonesia,Merakit model
46286,36,female,Kota Malang,Web developer,PT Astra International,Membaca
51378,28,male,Kabupaten Bogor,Content writer,Universitas Sumatera Utara (USU),Merakit model
28653,27,male,Kabupaten Bangkalan,Ilustrator,PT Semen Indonesia,Eksplor alam
57,14,male,Kabupaten Tegal,Desain grafis,PT Bank Mandiri Tbk,Makan
1710,29,female,Kabupaten Lumajang,Content creator,PT Telkom Indonesia,Membaca
9822,38,female,Kabupaten Sleman,Ilustrator,Universitas Telkom,Menonton
29487,18,male,Kabupaten Cianjur,Desain grafis,Universitas Negeri Surabaya (UNESA),Menulis
55028,38,female,Kabupaten Sampang,Penulis,PT Bank Rakyat Indonesia Tbk,Berkebun
57878,69,male,Kabupaten Batang,Penulis,Universitas Diponegoro (UNDIP),Merakit model
62458,52,female,Kabupaten Batang,Ilustrator,SMA C,Berkebun
76963,29,female,Kota Yogyakarta,Data analyst,PT Astra International,Olahraga
80417,98,female,Kota Probolinggo,Blogger,Universitas Sumatera Utara (USU),Makan
21764,32,female,Kabupaten Bondowoso,Siswa,Universitas Negeri Malang (UM),Melukis
95175,16,female,Kota Magelang,Infuencer,Universitas Negeri Yogyakarta (UNY),Menganyam
74868,34,male,Kabupaten Kudus,Mahasiswa,Universitas Negeri Jakarta (UNJ),Bermain musik
69458,23,male,Kota Semarang,Video editor,SMA B,Melukis
38998,49,female,Kabupaten Ponorogo,Data analyst,Universitas Dian Nuswantoro,Melukis
67233,26,female,Kabupaten Semarang,Web developer,Institut Teknologi Bandung (ITB),Memasak
8643,72,female,Kabupaten Kuningan,Infuencer,PT Telkom Indonesia,Olahraga
16769,59,male,Kabupaten Bojonegoro,Penulis,Universitas Indonesia (UI),Merakit model
39634,46,male,Kabupaten Banyumas,Programmer,Universitas Negeri Jakarta (UNJ),Kolektor
73865,23,female,Kabupaten Pacitan,Penulis,Universitas Lampung (UNILA),Olahraga
69712,14,female,Kabupaten Pamekasan,Content writer,Universitas Gunadarma,Makan
19790,21,female,Kabupaten Lamongan,Data analyst,SMA B,Melukis
79579,21,male,Kabupaten Purworejo,Penerjemah,PT Bank Rakyat Indonesia Tbk,Eksplor alam
67987,32,male,Kota Bekasi,App developer,Institut Pertanian Bogor (IPB),Menyanyi
48709,26,female,Kota Pekalongan,Web developer,Universitas Gunadarma,Memasak
73870,23,male,Kota Surabaya,Blogger,Universitas Negeri Surabaya (UNESA),Menganyam
44374,58,female,Kabupaten Subang,Video editor,PT Bank Negara Indonesia Tbk,Menari
25386,44,female,Kabupaten Madiun,Penerjemah,Universitas Hasanuddin (UNHAS),Memasak
41142,22,female,Kota Pasuruan,Mahasiswa,Universitas Brawijaya (UB),Bermain game
8446,27,female,Kota Tasikmalaya,Penulis,Universitas Negeri Yogyakarta (UNY),Merakit model
89363,101,male,Kabupaten Boyolali,Content writer,Universitas Indonesia (UI),Merakit model
52732,31,male,Kabupaten Banyumas,Siswa,PT Freeport,Bermain game
6836,52,female,Kabupaten Karanganyar,Programmer,SMA C,Memasak
20374,18,male,Kabupaten Demak,Web developer,PT Bank Rakyat Indonesia Tbk,Menganyam
6160,65,female,Kota Madiun,Web developer,Universitas Brawijaya (UB),Mendengarkan musik
12416,29,male,Kabupaten Purbalingga,Video editor,Universitas Andalas (UNAND),Melukis
66738,30,male,Kabupaten Kediri,Video editor,Universitas Telkom,Kolektor
80000,14,female,Kabupaten Ponorogo,Penulis,Universitas Dian Nuswantoro,Melukis
12027,55,male,Kabupaten Brebes,Web developer,Universitas Negeri Yogyakarta (UNY),Melukis
90178,18,male,Kabupaten Sumenep,Siswa,SMA C,Memelihara hewan
63762,63,female,Kabupaten Bandung,Content writer,Universitas Telkom,Melukis
11119,42,male,Kabupaten Kudus,Mahasiswa,Universitas Sumatera Utara (USU),Bermain game
78670,68,male,Kota Serang,Web developer,Universitas Gunadarma,Fotografi
71771,17,female,Kabupaten Tulungagung,Penerjemah,Institut Teknologi Bandung (ITB),Menyanyi
55088,23,female,Kabupaten Tangerang,Siswa,Universitas Bina Nusantara (Binus),Bermain game
47364,20,female,Kabupaten Kediri,Data analyst,Universitas Andalas (UNAND),Olahraga
71084,33,female,Kabupaten Ngawi,Blogger,PT Bank Central Asia Tbk,Melukis
5370,66,female,Kabupaten Lebak,Infuencer,Universitas Negeri Surabaya (UNESA),Memasak
61567,37,male,Kabupaten Tangerang,Blogger,PT Bank Rakyat Indonesia Tbk,Programming
41835,32,male,Kota Blitar,Siswa,Universitas Bina Nusantara (Binus),Melukis
74307,28,male,Kota Probolinggo,Video editor,Universitas Indonesia (UI),Menonton
6640,26,male,Kota Salatiga,Penerjemah,PT Gudang Garam Tbk,Bermain game
76323,60,male,Kabupaten Kebumen,Data analyst,PT Pertamina,Programming
10516,39,male,Kabupaten Rembang,Web developer,Universitas Negeri Surabaya (UNESA),Makan
7699,35,female,Kabupaten Demak,Mahasiswa,PT Semen Indonesia,Mendengarkan musik
33955,49,male,Kota Depok,Web developer,Universitas Brawijaya (UB),Membaca
17328,22,female,Kabupaten Pandeglang,Content creator,SMA C,Memasak
83527,29,female,Kabupaten Bangkalan,App developer,PT Unilever Indonesia,Bermain musik
67491,34,male,Kabupaten Banjarnegara,Content creator,Universitas Sebelas Maret (UNS),Eksplor alam
92622,19,female,Kabupaten Bojonegoro,Web developer,PT Bank Central Asia Tbk,Olahraga
63337,32,male,Kabupaten Situbondo,App developer,Universitas Lampung (UNILA),Menganyam
39892,18,male,Kota Pasuruan,Penulis,Universitas Andalas (UNAND),Menonton
19937,59,male,Kabupaten Sragen,Content writer,Universitas Lampung (UNILA),Menulis
19758,15,female,Kabupaten Karawang,Siswa,Universitas Brawijaya (UB),Olahraga
47259,25,female,Kabupaten Bandung Barat,Infuencer,PT Astra International,Bermain musik
44728,20,female,Kabupaten Sukabumi,Ilustrator,Universitas Negeri Surabaya (UNESA),Memasak
46879,108,male,Kabupaten Kulonprogo,Content creator,PT Pertamina,Berkebun
75163,20,male,Kabupaten Sidoarjo,Content writer,PT Telkom Indonesia,Olahraga
34001,15,male,Kabupaten Trenggalek,Penulis,PT Telkom Indonesia,Menonton
92400,23,male,Kabupaten Kebumen,Data analyst,Universitas Gadjah Mada (UGM),Menari
57704,52,female,Kabupaten Bandung,Blogger,Universitas Negeri Yogyakarta (UNY),Eksplor alam
50434,41,female,Kabupaten Rembang,Penerjemah,Universitas Negeri Malang (UM),Menganyam
88364,20,male,Kabupaten Banyuwangi,Blogger,Universitas Hasanuddin (UNHAS),Programming
70927,46,male,Kabupaten Grobogan,Content writer,PT PLN,Menari
82471,18,male,Kabupaten Subang,App developer,PT Semen Indonesia,Eksplor alam
45195,26,female,Kabupaten Madiun,Ilustrator,Universitas Dian Nuswantoro,Mendengarkan musik
3884,20,female,Kabupaten Sukoharjo,Ilustrator,PT Garuda Indonesia,Eksplor alam
81454,21,male,Kabupaten Kendal,Penulis,Universitas Negeri Semarang (UNNES),Menulis
79029,18,male,Kabupaten Bandung,Data analyst,PT Pertamina,Memasak
77298,20,female,Kabupaten Magetan,Video editor,Universitas Gadjah Mada (UGM),Bermain game
70803,22,male,Kabupaten Lumajang,Penerjemah,PT Freeport,Menulis
91589,33,male,Kabupaten Lumajang,Siswa,Universitas Negeri Malang (UM),Fotografi
42555,27,male,Kabupaten Wonogiri,Mahasiswa,Universitas Gadjah Mada (UGM),Membaca
35467,15,male,Kabupaten Sampang,Ilustrator,Institut Teknologi Bandung (ITB),Membaca
80044,18,female,Kabupaten Madiun,Blogger,SMA C,Bermain game
1502,50,male,Kabupaten Jember,Content creator,SMA B,Olahraga
2432,25,male,Kabupaten Jombang,Blogger,PT Bank Central Asia Tbk,Memasak
19316,20,male,Kabupaten Pamekasan,Siswa,SMA C,Memelihara hewan
54492,103,female,Kota Tegal,Mahasiswa,Universitas Negeri Semarang (UNNES),Menganyam
77842,15,female,Kabupaten Sidoarjo,Penerjemah,Universitas Bina Nusantara (Binus),Makan
75447,13,female,Kabupaten Wonosobo,Web developer,Institut Teknologi Sepuluh Nopember (ITS),Kolektor
53660,25,male,Kabupaten Serang,Blogger,PT Unilever Indonesia,Makan
47848,68,female,Kabupaten Pamekasan,Content creator,Universitas Indonesia (UI),Menari
21036,65,female,Kabupaten Kuningan,Siswa,PT Bank Mandiri Tbk,Membaca
93498,108,male,Kabupaten Pamekasan,Blogger,Institut Teknologi Sepuluh Nopember (ITS),Membaca
45373,15,female,Kota Cilegon,Infuencer,PT Gudang Garam Tbk,Memelihara hewan
95427,21,male,Kota Banjar,Mahasiswa,SMA B,Merakit model
90730,50,female,Kota Bandung,Siswa,PT Pertamina,Menonton
66496,25,male,Kabupaten Lebak,Ilustrator,PT Gudang Garam Tbk,Menyanyi
71898,17,male,Kabupaten Bondowoso,Video editor,PT Garuda Indonesia,Olahraga
50308,17,male,Kota Batu,Web developer,Universitas Negeri Surabaya (UNESA),Merakit model
17772,27,male,Kabupaten Nganjuk,Data analyst,PT Bank Negara Indonesia Tbk,Menyanyi
59720,36,male,Kabupaten Sumenep,Data analyst,PT Freeport,Menulis
16543,38,male,Kabupaten Jepara,Programmer,Universitas Airlangga (UNAIR),Merakit model
21852,31,male,Kabupaten Semarang,Desain grafis,Universitas Sumatera Utara (USU),Melukis
96551,23,male,Kabupaten Banjarnegara,Mahasiswa,Universitas Negeri Surabaya (UNESA),Membaca
38844,70,male,Kabupaten Malang,Blogger,PT Garuda Indonesia,Membaca
24288,18,male,Kota Kediri,Ilustrator,Universitas Negeri Yogyakarta (UNY),Menyanyi
87619,25,female,Kota Bandung,Ilustrator,Universitas Hasanuddin (UNHAS),Menonton
44479,34,male,Kabupaten Tasikmalaya,Ilustrator,PT Unilever Indonesia,Menulis
71781,108,male,Kabupaten Sukoharjo,Programmer,Universitas Lampung (UNILA),Eksplor alam
85228,46,male,Kabupaten Tegal,Video editor,Universitas Negeri Semarang (UNNES),Merakit model
27539,75,female,Kota Kediri,Data analyst,PT PLN,Bermain game
5183,33,male,Kabupaten Tangerang,Data analyst,PT Freeport,Menulis
42023,27,female,Kabupaten Gunungkidul,Content writer,Universitas Indonesia (UI),Makan
57707,55,female,Kabupaten Tangerang,Programmer,PT Semen Indonesia,Bermain game
43361,15,female,Kota Cimahi,Video editor,PT Unilever Indonesia,Programming
92700,16,male,Kabupaten Wonosobo,Infuencer,PT Telkom Indonesia,Menonton
44499,55,female,Kota Tegal,Web developer,PT Gudang Garam Tbk,Berkebun
95878,16,female,Kota Cirebon,App developer,Institut Pertanian Bogor (IPB),Menyanyi
35434,56,female,Kabupaten Boyolali,App developer,Institut Pertanian Bogor (IPB),Menonton
49220,16,male,Kabupaten Boyolali,Data analyst,PT Bank Central Asia Tbk,Eksplor alam
33740,69,male,Kota Salatiga,Programmer,Institut Teknologi Sepuluh Nopember (ITS),Eksplor alam
76085,18,female,Kota Banjar,Desain grafis,PT Gudang Garam Tbk,Menulis
4136,31,male,Kabupaten Jombang,Blogger,PT Bank Negara Indonesia Tbk,Olahraga
68597,16,male,Kota Batu,Video editor,Universitas Dian Nuswantoro,Melukis
55184,26,female,Kabupaten Bogor,Video editor,PT Semen Indonesia,Makan
54446,28,male,Kabupaten Tegal,Web developer,Universitas Padjadjaran (UNPAD),Menonton
38742,34,male,Kota Tasikmalaya,Web developer,Universitas Lampung (UNILA),Bermain game
79322,25,male,Kabupaten Pemalang,Data analyst,Universitas Lampung (UNILA),Membaca
61667,54,female,Kabupaten Kendal,Programmer,PT Freeport,Berkebun
80611,19,female,Kabupaten Pekalongan,Desain grafis,Universitas Sebelas Maret (UNS),Kolektor
73958,35,female,Kota Probolinggo,Infuencer,PT Garuda Indonesia,Kolektor
61831,40,female,Kabupaten Bandung,Infuencer,Institut Teknologi Sepuluh Nopember (ITS),Makan
83367,21,female,Kabupaten Banyumas,Data analyst,PT Garuda Indonesia,Bermain game
47576,34,male,Kabupaten Malang,Mahasiswa,Universitas Gunadarma,Menonton
89127,17,male,Kabupaten Subang,Desain grafis,Universitas Negeri Surabaya (UNESA),Programming
40389,69,male,Kota Pasuruan,Data analyst,Institut Pertanian Bogor (IPB),Mendengarkan musik
3266,44,male,Kabupaten Bekasi,Programmer,Universitas Negeri Semarang (UNNES),Makan
22241,25,female,Kabupaten Ngawi,Ilustrator,Universitas Brawijaya (UB),Mendengarkan musik
38110,25,male,Kabupaten Bogor,Content writer,Universitas Telkom,Merakit model
42715,64,male,Kabupaten Klaten,App developer,PT Bank Mandiri Tbk,Kolektor
67679,57,female,Kabupaten Kediri,Infuencer,Universitas Bina Nusantara (Binus),Melukis
95121,108,female,Kabupaten Lumajang,Data analyst,SMA B,Menganyam
78648,17,male,Kabupaten Pandeglang,Penerjemah,PT Gudang Garam Tbk,Bermain musik
43408,19,male,Kabupaten Boyolali,Mahasiswa,Universitas Lampung (UNILA),Menari
85158,42,male,Kota Sukabumi,Blogger,Institut Teknologi Bandung (ITB),Menonton
52535,33,male,Kabupaten Sumedang,Web developer,Universitas Diponegoro (UNDIP),Fotografi
98773,36,female,Kota Kediri,Siswa,PT Freeport,Programming
79967,15,female,Kabupaten Tasikmalaya,Mahasiswa,Universitas Diponegoro (UNDIP),Menari
